outcome,term,df,sum_sq,mean_sq,f_value,p_value,partial_eta_squared
mean_trust,sensitivity_factor,2,4.924325650074084,2.462162825037042,837.3180464784259,2.761161711290018e-114,0.8651606048524856
mean_trust,confidence_factor,2,24.565675801185133,12.282837900592567,4177.0762402688015,6.60341848683895e-199,0.9697045408552406
mean_trust,sensitivity_factor:confidence_factor,4,9.84402443837029,2.4610061095925726,836.9246774020814,1.6745905562996268e-147,0.9276747600720793
mean_trust,Residuals,261,0.767479573666666,0.002940534765006383,NA,NA,NA
fragmentation,sensitivity_factor,2,8.661908343747143e-4,4.3309541718735713e-4,14.675197018429932,9.124528451553316e-7,0.10108611746238527
fragmentation,confidence_factor,2,0.26850177686368837,0.13425088843184418,4549.016589534307,1.3364183047817532e-203,0.9721125040368781
fragmentation,sensitivity_factor:confidence_factor,4,0.0017323816687091354,4.3309541717728386e-4,14.675197018088605,7.93962540746831e-11,0.18361164645946793
fragmentation,Residuals,261,0.007702649834543339,2.9512068331583672e-5,NA,NA,NA
manipulation_rate,sensitivity_factor,2,0.3471106233662554,0.1735553116831277,3251.5476192990473,3.3823500417264203e-185,0.9614139081734613
manipulation_rate,confidence_factor,2,1.1374591251687216,0.5687295625843608,10655.111833295408,6.323057985647459e-251,0.9879005473201673
manipulation_rate,sensitivity_factor:confidence_factor,4,0.5366344080164607,0.13415860200411517,2513.4527933746713,5.281652517872999e-207,0.974696579936376
manipulation_rate,Residuals,261,0.013931192666666663,5.3376217113665376e-5,NA,NA,NA
update_rate,sensitivity_factor,2,0.04316767274897093,0.021583836374485466,25.388479060973552,8.41283138442758e-11,0.16286308785553813
update_rate,confidence_factor,2,17.72382001200819,8.861910006004095,10424.023455516512,1.0676542679732067e-249,0.9876356331434565
update_rate,sensitivity_factor:confidence_factor,4,0.03814539204115266,0.009536348010288164,11.21734651693168,2.0571917630978163e-8,0.14669459616266264
update_rate,Residuals,261,0.22188730881481517,8.501429456506328e-4,NA,NA,NA
